Stock quote and option quote for MCD on 6/14/19 21:48:21

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
205.29,N,+.80,205.12,P,205.58,P,3 x 4,"2,715,937",204.00,205.805,203.78

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
2.26%,27.23,1.16,Q,5/31/19,206.39,153.13,"763,556,380",0.54

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,MCD190816C175,0,7,32.55%,34.38,.882,.006,.162,-.040,.916,26.00,B,31.650,26.00,21,31,86.50%,13.50%,26.11%,3.78%,3.78%,31.10,B,32.20,I,16 AUG 19,175,.40,H,.44,H,MCD190816P175,0,99,23.64%,1.77,-.048,.005,.086,-.016,-.018,.71,I,.420,.71,11,11,5.89%,94.11%,11.54%,1.17%,<empty>,,
,,MCD190816C180,17,55,28.50%,29.28,.869,.008,.176,-.038,.668,27.00,P,26.725,27.00,43,31,85.13%,14.87%,28.86%,3.99%,3.99%,26.60,M,26.85,M,16 AUG 19,180,.59,X,.64,H,MCD190816P180,0,148,22.06%,2.16,-.071,.007,.117,-.020,-.026,.72,C,.615,.72,47,11,8.42%,91.58%,16.50%,1.71%,<empty>,,
,,MCD190816C185,10,74,25.70%,24.63,.840,.010,.204,-.040,.455,21.60,N,22.050,21.60,1,31,81.95%,18.05%,35.09%,4.89%,4.89%,21.95,N,22.15,M,16 AUG 19,185,.93,Z,.96,H,MCD190816P185,14,274,20.72%,2.74,-.107,.010,.158,-.026,-.040,.92,W,.945,.92,12,11,12.38%,87.62%,24.25%,2.63%,<empty>,,
,,MCD190816C190,4,85,23.26%,20.19,.796,.014,.240,-.043,.317,17.10,N,17.550,17.10,31,31,77.22%,22.78%,44.33%,6.28%,6.28%,17.45,M,17.65,M,16 AUG 19,190,1.42,M,1.46,H,MCD190816P190,2,223,19.33%,3.47,-.159,.015,.208,-.031,-.059,1.57,I,1.440,1.57,21,21,17.99%,82.01%,35.22%,4.00%,<empty>,,
,,MCD190816C195,22,124,21.35%,16.11,.729,.018,.282,-.046,.240,13.45,P,13.375,13.45,11,41,70.21%,29.79%,57.96%,8.58%,8.58%,13.30,H,13.45,M,16 AUG 19,195,2.21,M,2.26,H,MCD190816P195,110,393,18.09%,4.48,-.236,.020,.265,-.037,-.087,2.35,P,2.235,2.35,21,21,26.08%,73.92%,51.01%,6.21%,<empty>,,
,,MCD190816C200,12,588,19.69%,12.38,.637,.022,.320,-.049,.197,9.95,M,9.600,9.95,21,4,60.85%,39.15%,76.12%,11.98%,11.98%,9.55,H,9.65,N,16 AUG 19,200,3.40,M,3.55,X,MCD190816P200,65,287,16.99%,5.87,-.342,.025,.315,-.041,-.126,3.45,Q,3.475,3.45,57,31,37.02%,62.98%,72.29%,9.66%,<empty>,,
,,MCD190816C210,109,821,17.47%,6.52,.391,.026,.329,-.044,.128,4.00,W,3.975,4.00,64,59,36.43%,63.57%,74.78%,11.05%,24.14%,3.90,M,4.05,M,16 AUG 19,210,7.80,M,7.90,M,MCD190816P210,74,174,14.95%,9.99,-.628,.029,.323,-.037,-.222,7.65,Q,7.850,7.65,11,21,65.32%,34.68%,70.88%,8.73%,<empty>,,
,,MCD190816C220,30,190,16.30%,2.94,.163,.018,.212,-.027,.056,1.19,W,1.170,1.19,10,42,14.72%,85.28%,29.97%,3.25%,44.15%,1.14,H,1.20,M,16 AUG 19,220,15.00,M,15.35,I,MCD190816P220,0,109,12.75%,16.25,-.892,.015,.155,-.015,-.344,15.30,X,15.175,15.30,21,47,90.72%,9.28%,18.79%,1.29%,<empty>,,
,,MCD190816C230,1,362,16.21%,1.28,.050,.007,.090,-.011,.018,.25,X,.285,.25,38,21,4.37%,95.63%,8.87%,0.79%,69.48%,.27,H,.30,M,16 AUG 19,230,24.40,B,25.20,M,MCD190816P230,0,0,15.64%,25.68,-.935,.003,.097,-.011,-.608,0, ,24.800,0,21,31,96.15%,3.85%,7.80%,0.25%,<empty>,,
,,MCD190816C240,39,43,16.93%,.61511606,.015,.003,.033,-.004,.005,.08,A,.075,.08,67,33,1.25%,98.75%,2.54%,0.21%,96.70%,.06,H,.09,H,16 AUG 19,240,34.10,E,35.15,B,MCD190816P240,0,0,--,<empty>,-1.000,.00,.00,.00,.00,0, ,34.625,0,2,21,100.00%,0.00%,0.00%,-0.24%,<empty>,,
