Stock quote and option quote for BP on 6/14/19 21:46:56

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
40.91,N,-.31,40.86,P,41.20,P,4 x 1,"4,560,294",40.87,40.97,40.76

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
6.01%,13.97,.615,Q,5/9/19,47.25,36.28,"3,391,322,800",0.64

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,BP190628C42.5,7,0,17.64%,.64013283,.137,.150,.018,-.010,.002,.09,W,.100,.09,7,64,12.97%,87.03%,26.78%,5.95%,100.59%,.09,W,.11,Z,28 JUN 19,42.5,1.63,H,1.71,M,BP190628P42.5,0,0,11.59%,2.19,-.951,.102,.008,-.007,-.017,0, ,1.670,0,21,89,95.55%,4.45%,9.21%,4.76%,<empty>,,
,,BP190628C43,75,263,17.61%,.51055831,.077,.099,.012,-.007,.001,.05,Z,.050,.05,98,95,7.25%,92.75%,14.91%,2.98%,127.37%,.04,W,.06,H,28 JUN 19,43,2.10,Z,2.19,Z,BP190628P43,0,50,0.05%,2.43,-1.000,.00,.612,-.065,.00,.86,M,2.145,.86,7,13,100.00%,0.00%,0.00%,3.27%,<empty>,,
,,BP190628C43.5,0,0,17.87%,.41929127,.043,.061,.008,-.004,.001,0, ,.025,0,78,83,3.95%,96.05%,8.11%,1.49%,155.64%,.01,W,.04,W,28 JUN 19,43.5,2.52,M,2.68,H,BP190628P43.5,0,0,0.05%,2.93,-.998,.00,.00,-.004,-.018,0, ,2.600,0,49,15,100.00%,0.00%,0.00%,0.60%,<empty>,,
,,BP190628C44,20,256,18.78%,.37829643,.026,.039,.005,-.003,.00,.03,Z,.015,.03,0,76,2.42%,97.58%,4.96%,0.89%,184.81%,0,J,.03,W,28 JUN 19,44,3.05,M,3.15,B,BP190628P44,0,1,0.05%,3.42,-.998,.00,.00,-.004,-.018,3.09,C,3.100,3.09,25,43,100.00%,0.00%,0.00%,0.60%,<empty>,,
,,BP190628C44.5,0,0,22.80%,.51114394,.034,.039,.006,-.005,.001,0, ,.025,0,0,173,3.03%,96.97%,6.19%,1.49%,215.16%,0,M,.05,X,28 JUN 19,44.5,3.55,M,3.65,B,BP190628P44.5,0,0,0.05%,3.92,-.998,.00,.00,-.004,-.018,0, ,3.600,0,27,70,100.00%,0.00%,0.00%,0.60%,<empty>,,
,,BP190628C45,0,33,25.30%,.56153785,.031,.033,.006,-.005,.001,.06,I,.025,.06,5,272,2.78%,97.22%,5.68%,1.49%,244.92%,.01,Z,.04,X,28 JUN 19,45,4.05,M,4.20,W,BP190628P45,0,1,0.05%,4.42,-1.000,.00,.593,.00,.00,3.45,C,4.125,3.45,26,31,100.00%,0.00%,0.00%,2.08%,<empty>,,
,,BP190628C46,0,100,27.73%,.52668527,.018,.020,.004,-.004,.00,.06,C,.015,.06,0,258,1.61%,98.39%,3.28%,0.89%,303.85%,0,J,.03,C,28 JUN 19,46,5.05,M,5.20,Z,BP190628P46,0,0,0.05%,5.41,-1.000,.00,.584,-.062,.00,0, ,5.125,0,25,61,100.00%,0.00%,0.00%,2.08%,<empty>,,
,,BP190628C47,0,0,31.93%,.59471844,.016,.015,.003,-.004,.00,0, ,.015,0,0,157,1.39%,98.61%,2.83%,0.89%,363.37%,0,M,.03,W,28 JUN 19,47,5.90,I,6.25,B,BP190628P47,0,0,--,<empty>,-1.000,.00,.575,.00,.00,0, ,6.075,0,43,141,100.00%,0.00%,0.00%,-0.89%,<empty>,,
,,BP190628C48,0,0,35.94%,.65756314,.015,.012,.003,-.004,.00,0, ,.015,0,0,203,1.22%,98.78%,2.48%,0.89%,422.89%,0,M,.03,X,28 JUN 19,48,7.05,M,7.20,B,BP190628P48,0,0,0.05%,7.40,-1.000,.00,.566,.00,.00,0, ,7.125,0,21,141,100.00%,0.00%,0.00%,2.08%,<empty>,,
,,BP190628C49,0,0,37.82%,.616974,.010,.008,.002,-.003,.00,0, ,.010,0,0,51,0.79%,99.21%,1.61%,0.60%,482.11%,0,J,.02,W,28 JUN 19,49,8.00,Q,8.20,M,BP190628P49,0,0,0.05%,8.40,-1.000,.00,.556,.00,.00,0, ,8.100,0,2,123,100.00%,0.00%,0.00%,0.60%,<empty>,,
