Stock quote and option quote for PFE on 6/14/19 21:45:37

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
42.76,N,+.26,42.58,P,42.85,P,1 x 4,"12,521,887",42.52,42.87,42.48

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
3.37%,21.82,.36,Q,5/9/19,46.47,35.73,"5,559,929,200",0.74

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,PFE190719C36,0,62,41.54%,7.72,.907,.023,.021,-.011,.016,6.85,Q,6.925,6.85,15,10,89.36%,10.64%,20.57%,3.91%,3.91%,6.80,A,7.05,A,19 JUL 19,36,0,J,.03,N,PFE190719P36,0,465,24.80%,.25049384,-.013,.010,.004,-.002,-.001,.03,C,.015,.03,0,3,1.55%,98.45%,3.04%,0.36%,<empty>,,
,,PFE190719C37,0,3,34.93%,6.57,.908,.029,.021,-.009,.017,6.25,Q,5.900,6.25,13,72,89.52%,10.48%,20.35%,3.32%,3.32%,5.80,P,6.00,B,19 JUL 19,37,.03,H,.04,Z,PFE190719P37,0,142,24.30%,.36219555,-.027,.019,.009,-.003,-.001,.05,P,.035,.05,101,30,3.26%,96.74%,6.39%,0.83%,<empty>,,
,,PFE190719C38,0,93,30.80%,5.57,.893,.041,.024,-.009,.019,5.00,Q,4.925,5.00,16,154,87.72%,12.28%,23.88%,3.91%,3.91%,4.85,P,5.00,X,19 JUL 19,38,.06,H,.07,H,PFE190719P38,0,438,23.08%,.47143319,-.049,.033,.014,-.004,-.002,.08,I,.065,.08,46,139,5.73%,94.27%,11.22%,1.54%,<empty>,,
,,PFE190719C39,9,62,27.40%,4.62,.864,.058,.029,-.010,.022,3.92,E,3.975,3.92,138,453,84.48%,15.52%,30.18%,5.10%,5.10%,3.85,H,4.10,X,19 JUL 19,39,.10,H,.12,H,PFE190719P39,0,649,21.36%,.58162024,-.082,.053,.020,-.006,-.004,.14,I,.110,.14,107,211,9.30%,90.70%,18.19%,2.61%,<empty>,,
,,PFE190719C40,8,"6,351",24.19%,3.69,.817,.082,.035,-.011,.024,3.05,C,3.050,3.05,190,765,79.57%,20.43%,39.72%,6.88%,6.88%,3.00,H,3.10,X,19 JUL 19,40,.17,H,.19,H,PFE190719P40,5,"14,098",19.40%,.70674188,-.133,.083,.029,-.008,-.006,.20,X,.180,.20,135,294,14.75%,85.25%,28.80%,4.27%,<empty>,,
,,PFE190719C41,2,"1,447",20.94%,2.79,.745,.116,.043,-.011,.025,2.14,A,2.160,2.14,148,4,72.23%,27.77%,53.92%,9.49%,9.49%,2.14,H,2.18,N,19 JUL 19,41,.30,H,.32,H,PFE190719P41,2,"9,372",17.66%,.89275042,-.221,.125,.040,-.010,-.010,.33,C,.310,.33,328,99,23.88%,76.12%,46.48%,7.36%,<empty>,,
,,PFE190719C42,18,"2,792",18.83%,2.03,.624,.151,.051,-.012,.023,1.39,A,1.395,1.39,48,83,60.07%,39.93%,77.27%,15.07%,15.07%,1.38,X,1.41,H,19 JUL 19,42,.54,H,.56,H,PFE190719P42,143,"10,009",16.23%,1.17,-.360,.171,.050,-.012,-.016,.55,A,.550,.55,132,299,38.03%,61.97%,73.69%,13.05%,<empty>,,
,,PFE190719C43,121,"5,362",17.28%,1.40,.461,.172,.053,-.012,.018,.77,A,.790,.77,85,103,44.02%,55.98%,91.33%,18.74%,24.44%,.78,H,.80,H,19 JUL 19,43,.94,N,.95,P,PFE190719P43,33,"1,621",14.83%,1.54,-.546,.198,.053,-.011,-.024,.93,N,.945,.93,31,24,56.64%,43.36%,89.91%,16.73%,<empty>,,
,,PFE190719C44,85,"21,906",16.07%,.89646056,.286,.158,.046,-.010,.012,.40,C,.375,.40,40,24,26.97%,73.03%,55.58%,8.90%,38.32%,.37,H,.38,P,19 JUL 19,44,1.52,H,1.55,H,PFE190719P44,7,661,13.24%,2.02,-.753,.176,.042,-.009,-.033,1.50,C,1.535,1.50,165,117,76.88%,23.12%,47.57%,7.00%,<empty>,,
,,PFE190719C45,110,"4,788",15.36%,.54916531,.145,.110,.031,-.006,.006,.14,C,.150,.14,249,132,13.44%,86.56%,27.55%,3.56%,56.71%,.14,H,.16,H,19 JUL 19,45,2.31,N,2.34,H,PFE190719P45,5,84,11.01%,2.61,-.929,.088,.018,-.004,-.041,2.30,P,2.325,2.30,25,181,93.66%,6.34%,12.97%,2.02%,<empty>,,
