Stock quote and option quote for GM on 6/14/19 21:48:00

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
35.66,N,-.36,35.53,P,35.76,P,4 x 7,"4,953,403",35.88,35.99,35.54

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
4.26%,5.669,.38,Q,6/6/19,45.00,30.56,"1,418,392,900",1.18

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,GM190802C42.5,0,0,29.11%,.4424992,.054,.029,.015,-.004,.003,0, ,.085,0,0,929,4.37%,95.63%,9.05%,1.74%,141.86%,0,J,.17,C,2 AUG 19,42.5,6.70,A,6.90,B,GM190802P42.5,0,0,--,<empty>,-1.000,.00,.768,.00,.00,0, ,6.800,0,13,24,100.00%,0.00%,0.00%,-0.82%,<empty>,,
,,GM190802C43,0,0,25.49%,.23982136,.024,.017,.008,-.002,.001,0, ,.030,0,0,222,1.97%,98.03%,4.05%,0.61%,150.97%,0,P,.06,C,2 AUG 19,43,7.15,M,7.60,B,GM190802P43,0,0,0.03%,7.52,-1.000,.00,.752,.00,.00,0, ,7.375,0,105,72,100.00%,0.00%,0.00%,0.72%,<empty>,,

20 SEP 19  (98)  100
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,GM190920C22,0,0,73.55%,14.45,.895,.006,.025,-.008,.016,0, ,13.875,0,23,23,85.44%,14.56%,26.52%,2.22%,2.22%,13.80,X,13.95,X,20 SEP 19,22,.06,H,.07,H,GM190920P22,0,58,46.98%,.26318433,-.019,.005,.009,-.002,-.002,.10,M,.065,.10,57,38,3.36%,96.64%,6.38%,0.67%,<empty>,,
,,GM190920C23,0,0,66.68%,13.40,.898,.008,.026,-.008,.018,15.00,C,12.875,15.00,21,21,85.86%,14.14%,25.95%,2.22%,2.22%,12.80,X,12.95,X,20 SEP 19,23,.07,H,.08,Z,GM190920P23,0,42,44.19%,.28625434,-.023,.007,.010,-.002,-.002,.17,Z,.075,.17,97,19,3.86%,96.14%,7.32%,0.78%,<empty>,,
,,GM190920C24,0,0,57.37%,12.23,.907,.009,.024,-.006,.017,0, ,11.800,0,48,21,87.66%,12.34%,22.90%,1.45%,1.45%,11.65,B,11.95,X,20 SEP 19,24,.09,D,.10,P,GM190920P24,0,50,42.15%,.33238261,-.029,.008,.012,-.003,-.003,.20,X,.095,.20,26,22,4.75%,95.25%,9.01%,0.98%,<empty>,,
,,GM190920C25,0,0,56.34%,11.41,.895,.012,.028,-.007,.024,14.10,X,10.925,14.10,23,23,85.21%,14.79%,27.38%,2.74%,2.74%,10.85,X,11.00,X,20 SEP 19,25,.11,H,.12,Z,GM190920P25,0,50,39.80%,.37380006,-.036,.011,.015,-.003,-.004,.27,C,.115,.27,96,19,5.66%,94.34%,10.75%,1.19%,<empty>,,
,,GM190920C26,0,8,49.10%,10.29,.900,.015,.028,-.006,.025,10.75,B,9.875,10.75,48,23,86.14%,13.86%,25.86%,2.22%,2.22%,9.75,B,10.00,X,20 SEP 19,26,.14,W,.15,H,GM190920P26,0,113,37.80%,.43246167,-.046,.014,.018,-.004,-.005,.14,X,.145,.14,41,59,6.96%,93.04%,13.21%,1.50%,<empty>,,
