Stock quote and option quote for AIG on 6/14/19 21:44:11

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
53.31,N,+.11,51.00,P,53.49,P,2 x 3,"3,206,876",53.27,53.43,52.85

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
2.40%,-183.8,.32,Q,6/13/19,56.36,36.16,"869,753,580",0.83

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,AIG200117C36,0,0,46.97%,18.58,.871,.007,.072,-.007,.084,0, ,18.100,0,36,11,81.54%,18.46%,33.76%,2.48%,2.48%,17.30,B,18.90,E,17 JAN 20,36,.31,X,.40,M,AIG200117P36,0,43,34.40%,.61383411,-.053,.008,.045,-.004,-.019,.51,N,.355,.51,40,30,9.00%,91.00%,16.98%,1.12%,<empty>,,
,,AIG200117C37,0,0,38.28%,17.04,.890,.007,.063,-.005,.075,0, ,16.700,0,16,4,86.08%,13.92%,25.96%,1.23%,1.23%,16.35,P,17.05,Q,17 JAN 20,37,.37,X,.45,M,AIG200117P37,0,82,33.58%,.68936367,-.062,.009,.050,-.004,-.022,.58,Q,.410,.58,30,30,10.12%,89.88%,19.09%,1.29%,<empty>,,
,,AIG200117C38,0,0,36.81%,16.13,.885,.008,.067,-.005,.085,0, ,15.775,0,36,30,85.20%,14.80%,27.64%,1.46%,1.46%,15.40,B,16.15,M,17 JAN 20,38,.42,X,.52,I,AIG200117P38,0,286,32.71%,.76947473,-.071,.010,.056,-.004,-.025,.56,N,.470,.56,30,40,11.32%,88.68%,21.36%,1.48%,<empty>,,
,,AIG200117C39,0,0,35.35%,15.21,.879,.010,.071,-.005,.094,0, ,14.850,0,36,30,84.25%,15.75%,29.46%,1.70%,1.70%,14.50,B,15.20,X,17 JAN 20,39,.51,X,.61,X,AIG200117P39,0,35,32.21%,.88769684,-.083,.011,.063,-.005,-.029,.73,Q,.560,.73,20,40,12.96%,87.04%,24.43%,1.76%,<empty>,,
,,AIG200117C40,0,"1,368",36.11%,14.52,.861,.012,.081,-.006,.108,13.85,H,14.100,13.85,2,19,81.24%,18.76%,34.93%,2.48%,2.48%,13.85,Q,14.35,Z,17 JAN 20,40,.58,N,.70,X,AIG200117P40,0,"11,566",31.37%,.98865473,-.095,.013,.070,-.005,-.033,.70,C,.640,.70,3,40,14.45%,85.55%,27.24%,2.01%,<empty>,,
,,AIG200117C41,0,1,34.52%,13.60,.852,.013,.086,-.006,.116,11.67,M,13.175,11.67,8,3,80.17%,19.83%,36.99%,2.72%,2.72%,12.90,Q,13.45,Q,17 JAN 20,41,.65,X,.91,X,AIG200117P41,0,12,31.19%,1.17,-.112,.015,.078,-.006,-.039,.96,W,.780,.96,41,40,16.72%,83.28%,31.45%,2.45%,<empty>,,
,,AIG200117C42,0,367,32.64%,12.65,.844,.015,.091,-.006,.123,9.70,N,12.225,9.70,40,40,79.27%,20.73%,38.76%,2.88%,2.88%,12.00,M,12.45,M,17 JAN 20,42,.77,M,.96,N,AIG200117P42,0,226,30.12%,1.27,-.126,.017,.085,-.006,-.044,1.07,N,.865,1.07,40,8,18.28%,81.72%,34.41%,2.72%,<empty>,,
,,AIG200117C43,0,21,31.29%,11.75,.831,.017,.097,-.006,.131,10.50,I,11.325,10.50,36,40,77.77%,22.23%,41.62%,3.19%,3.19%,11.05,B,11.60,X,17 JAN 20,43,.93,P,1.03,M,AIG200117P43,0,125,29.27%,1.40,-.143,.019,.093,-.006,-.049,1.25,P,.980,1.25,15,30,20.23%,79.77%,38.07%,3.08%,<empty>,,
,,AIG200117C44,0,1,30.85%,10.98,.811,.020,.105,-.007,.138,10.25,N,10.525,10.25,40,40,75.25%,24.75%,46.28%,3.82%,3.82%,10.35,M,10.70,M,17 JAN 20,44,1.07,B,1.17,X,AIG200117P44,0,181,28.54%,1.56,-.162,.021,.101,-.007,-.056,1.44,P,1.120,1.44,15,20,22.47%,77.53%,42.28%,3.52%,<empty>,,
,,AIG200117C45,327,"14,090",29.56%,10.12,.794,.022,.112,-.007,.144,9.80,W,9.650,9.80,36,10,73.37%,26.63%,49.85%,4.21%,4.21%,9.45,B,9.85,H,17 JAN 20,45,1.27,Z,1.34,N,AIG200117P45,355,"8,268",28.06%,1.77,-.185,.023,.110,-.007,-.063,1.28,W,1.305,1.28,9,4,25.17%,74.83%,47.30%,4.10%,<empty>,,
,,AIG200117C46,0,66,29.02%,9.37,.770,.024,.120,-.007,.148,9.00,Z,8.875,9.00,30,3,70.60%,29.40%,54.97%,4.92%,4.92%,8.75,M,9.00,N,17 JAN 20,46,1.46,Z,1.54,N,AIG200117P46,0,116,27.47%,1.99,-.210,.025,.118,-.007,-.072,1.52,N,1.500,1.52,7,4,27.94%,72.06%,52.46%,4.71%,<empty>,,
,,AIG200117C47,0,344,28.10%,8.58,.745,.027,.128,-.008,.151,8.01,X,8.075,8.01,4,4,67.99%,32.01%,59.84%,5.55%,5.55%,8.00,N,8.15,N,17 JAN 20,47,1.68,H,1.79,X,AIG200117P47,1,265,27.01%,2.25,-.238,.028,.127,-.008,-.081,1.86,M,1.735,1.86,10,30,31.03%,68.97%,58.18%,5.45%,<empty>,,
,,AIG200117C48,0,397,27.41%,7.85,.717,.029,.135,-.008,.152,6.35,H,7.325,6.35,30,30,65.00%,35.00%,65.38%,6.33%,6.33%,7.20,X,7.45,X,17 JAN 20,48,1.95,Q,2.10,Z,AIG200117P48,0,138,26.76%,2.56,-.268,.030,.135,-.008,-.091,2.25,N,2.025,2.25,2,6,34.46%,65.54%,64.49%,6.36%,<empty>,,
,,AIG200117C49,0,"2,175",27.24%,7.22,.685,.031,.143,-.008,.152,6.37,I,6.675,6.37,4,10,61.45%,38.55%,71.85%,7.43%,7.43%,6.55,Q,6.80,H,17 JAN 20,49,2.23,Z,2.34,N,AIG200117P49,0,65,26.06%,2.83,-.299,.032,.142,-.008,-.100,2.56,W,2.285,2.56,6,4,37.69%,62.31%,70.48%,7.18%,<empty>,,
,,AIG200117C50,0,"5,338",26.34%,6.50,.653,.034,.149,-.009,.150,5.88,A,5.950,5.88,48,55,58.27%,41.73%,77.74%,8.30%,8.30%,5.85,I,6.05,X,17 JAN 20,50,2.56,Z,2.73,Z,AIG200117P50,10,"8,824",25.85%,3.21,-.334,.034,.149,-.009,-.111,2.62,C,2.645,2.62,6,10,41.43%,58.57%,77.28%,8.31%,<empty>,,
,,AIG200117C52.5,0,"4,733",25.40%,5.05,.562,.037,.160,-.009,.139,4.38,X,4.475,4.38,4,10,49.01%,50.99%,94.51%,11.52%,11.52%,4.40,Z,4.55,Z,17 JAN 20,52.5,3.55,X,3.70,Z,AIG200117P52.5,10,"6,068",24.83%,4.20,-.427,.038,.160,-.009,-.138,3.74,A,3.625,3.74,35,7,50.83%,49.17%,94.36%,11.39%,<empty>,,
,,AIG200117C55,0,"5,608",24.30%,3.76,.464,.039,.162,-.009,.122,3.20,Q,3.200,3.20,2,5,39.55%,60.45%,85.33%,10.06%,15.37%,3.15,N,3.25,Z,17 JAN 20,55,4.80,Z,4.95,Z,AIG200117P55,0,"2,597",24.05%,5.44,-.526,.040,.162,-.009,-.165,4.90,Q,4.875,4.90,6,8,60.48%,39.52%,85.20%,10.01%,<empty>,,
,,AIG200117C57.5,5,"3,413",23.60%,2.75,.367,.039,.154,-.008,.100,2.23,C,2.225,2.23,15,60,30.47%,69.53%,65.08%,6.99%,20.16%,2.15,B,2.30,M,17 JAN 20,57.5,6.25,P,6.50,X,AIG200117P57.5,0,396,23.36%,6.89,-.624,.039,.154,-.008,-.190,6.40,Q,6.375,6.40,3,78,69.66%,30.34%,64.77%,6.87%,<empty>,,
,,AIG200117C60,1,"25,335",22.84%,1.93,.275,.035,.137,-.007,.077,1.47,X,1.465,1.47,11,4,22.27%,77.73%,47.16%,4.60%,25.63%,1.41,Z,1.52,N,17 JAN 20,60,7.85,N,8.30,X,AIG200117P60,0,"1,302",22.46%,8.52,-.719,.036,.136,-.007,-.215,8.30,Q,8.075,8.30,9,70,78.04%,21.96%,46.47%,4.35%,<empty>,,
,,AIG200117C62.5,0,"2,600",22.67%,1.37,.202,.030,.115,-.006,.058,.95,X,.975,.95,20,5,15.84%,84.16%,33.37%,3.06%,31.95%,.91,X,1.04,B,17 JAN 20,62.5,9.95,Q,10.25,Z,AIG200117P62.5,0,13,22.53%,10.48,-.792,.031,.115,-.006,-.254,10.06,C,10.100,10.06,2,18,84.28%,15.72%,33.10%,2.86%,<empty>,,
,,AIG200117C65,0,"1,908",22.33%,.93712146,.141,.024,.092,-.005,.041,.50,X,.615,.50,14,4,10.73%,89.27%,22.49%,1.93%,38.67%,.58,P,.65,Z,17 JAN 20,65,11.80,M,12.40,I,AIG200117P65,0,10,20.72%,12.35,-.874,.025,.081,-.004,-.332,14.20,Q,12.100,14.20,52,64,90.73%,9.27%,19.33%,1.29%,<empty>,,
,,AIG200117C67.5,0,554,22.39%,.66054281,.098,.019,.071,-.004,.029,.39,Z,.400,.39,13,40,7.27%,92.73%,15.17%,1.26%,45.85%,.35,P,.45,X,17 JAN 20,67.5,14.15,Z,14.70,X,AIG200117P67.5,0,0,21.06%,14.62,-.914,.019,.060,-.003,-.500,15.50,N,14.425,15.50,19,20,93.79%,6.21%,12.92%,0.74%,<empty>,,
,,AIG200117C70,0,421,22.04%,.42850788,.063,.014,.051,-.003,.019,.20,P,.235,.20,20,20,4.55%,95.45%,9.47%,0.74%,53.19%,.21,Z,.26,Z,17 JAN 20,70,16.55,Q,17.05,P,AIG200117P70,0,0,21.17%,16.93,-.944,.013,.041,-.002,-.809,18.52,E,16.800,18.52,14,4,96.02%,3.98%,8.27%,0.35%,<empty>,,
