Stock quote and option quote for FEYE on 6/14/19 21:44:51

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
14.42,Q,-.18,14.31,P,14.55,P,10 x 10,"1,639,667",14.54,14.60,14.31

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
<empty>,-11.44,<empty>,--,,20.61,13.85,"205,069,600",1.11

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,FEYE190705C17,0,0,48.06%,.56742061,.093,.098,.006,-.006,.001,0, ,.070,0,0,235,7.45%,92.55%,15.23%,8.06%,305.10%,0,D,.14,X,5 JUL 19,17,2.56,H,2.63,P,FEYE190705P17,20,0,41.74%,2.91,-.928,.053,.004,-.004,-.003,2.48,Z,2.595,2.48,93,5,95.00%,5.00%,10.16%,1.73%,<empty>,,
,,FEYE190705C17.5,0,0,74.69%,1.15,.169,.095,.009,-.015,.001,0, ,.220,0,0,566,12.71%,87.29%,26.57%,25.33%,379.93%,0,W,.44,X,5 JUL 19,17.5,2.80,B,5.10,B,FEYE190705P17.5,0,1,134.34%,5.80,-.657,.073,.013,-.038,-.006,3.15,H,3.950,3.15,82,111,77.27%,22.73%,50.46%,100.16%,<empty>,,
,,FEYE190705C18,0,0,76.71%,1.09,.141,.082,.008,-.014,.001,0, ,.180,0,0,275,10.30%,89.70%,21.51%,20.72%,432.89%,0,J,.36,X,5 JUL 19,18,3.10,C,4.95,B,FEYE190705P18,0,0,107.45%,5.41,-.752,.076,.011,-.026,-.007,0, ,4.025,0,163,90,83.34%,16.66%,35.86%,51.23%,<empty>,,
,,FEYE190705C18.5,0,0,83.05%,1.15,.133,.073,.008,-.014,.001,0, ,.180,0,0,200,9.38%,90.62%,19.67%,20.72%,490.46%,0,H,.36,X,5 JUL 19,18.5,3.05,B,6.10,B,FEYE190705P18.5,0,0,119.84%,6.13,-.748,.067,.011,-.029,-.007,0, ,4.575,0,107,112,83.88%,16.12%,35.01%,56.99%,<empty>,,
,,FEYE190705C19,0,0,88.38%,1.19,.124,.065,.007,-.015,.001,0, ,.175,0,0,117,8.47%,91.53%,17.81%,20.15%,547.45%,0,D,.35,X,5 JUL 19,19,3.75,X,6.30,Z,FEYE190705P19,0,0,122.74%,6.58,-.765,.061,.010,-.028,-.007,0, ,5.025,0,239,84,85.58%,14.42%,31.31%,51.23%,<empty>,,
,,FEYE190705C19.5,0,0,94.10%,1.24,.118,.059,.007,-.015,.001,0, ,.175,0,0,198,7.83%,92.17%,16.52%,20.15%,605.01%,0,H,.35,X,5 JUL 19,19.5,4.95,B,5.35,B,FEYE190705P19.5,0,0,85.77%,5.99,-.882,.032,.006,-.012,-.005,0, ,5.150,0,90,90,93.73%,6.27%,13.12%,8.06%,<empty>,,

12 JUL 19  (28)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,FEYE190712C10,0,0,0.00%,4.48,1.000,.00,.00,-.001,.008,0, ,4.425,0,198,115,100.00%,0.00%,0.00%,0.44%,0.44%,4.20,X,4.65,C,12 JUL 19,10,0,D,.15,X,FEYE190712P10,0,0,84.47%,.56790839,-.048,.029,.004,-.006,-.001,0, ,.075,0,0,139,7.69%,92.31%,14.67%,6.55%,<empty>,,
