Quote on 6/15/19 12:02:59

0 - Optionable
Symbol,Volume,Open.Int,Impl Vol,Theo Price,Last Size,Last,%Change,Bid,Ask,Size,Open,High,Low,Delta,Gamma,Vega,Theta,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,ROR,ROC,% Out Of The Money,Mark % of underlying value,Mark %Change,Yield,Front Expected Move,Front Vol,Back Expected Move,Back Vol,Expected Move Diff,Market Maker Move,Weighted Back Vol,Call Sizzle Index,P/C Ratio,Put Sizzle Index,Vol Index,Vol Diff,Sizzle Index,HTB/ETB,Description,Sector,Industry,Shares,Sub-Industry
AAPL,"18,761,474",0,27.85%,192.74,"1,194,973",192.74,-0.73%,192.65,192.86,1 x 13,191.545,193.5863,190.30,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,1.60%,±5.878,27.81%,±8.678,28.90%,±6.379,<empty>,29.93%,0.742,0.668,0.613,27.85%,-1.09%,0.684,,APPLE INC COM,Information Technology,"Technology Hardware, Storage & Peripherals","4,601,075,000","Technology Hardware, Storage & Peripherals"
SIRI,"18,196,602",0,18.21%,5.56,"607,846",5.56,-0.36%,5.53,5.57,25 x 149,5.57,5.60,5.53,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,0.87%,±0.139,22.77%,±0.288,47.13%,±0.252,<empty>,++,0.446,0.061,0.179,18.21%,-24.36%,0.41,,SIRIUS XM HOLDINGS INC COM,Communication Services,Media,"4,607,284,700",Cable & Satellite
VALE,"17,962,173",0,37.95%,13.12,"711,190",13.12,-2.31%,13.05,13.60,12 x 1,13.31,13.33,13.05,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,5.45%,±0.57,39.58%,±0.768,37.53%,±0.514,±0.255,35.40%,1.385,0.282,0.483,37.95%,2.05%,0.982,,VALE S.A. ADR SPONSORED,Materials,Metals & Mining,"5,128,282,500",Steel
MSFT,"17,821,703",0,24.43%,132.36,0,132.45,+0.10%,132.30,132.36,10 x 1,132.26,133.79,131.64,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,-0.07%,1.39%,±2.933,20.20%,±4.414,21.40%,±3.297,<empty>,22.52%,0.64,0.834,0.85,24.43%,-1.20%,0.721,,MICROSOFT CORP COM,Information Technology,Software,"7,662,817,900",Systems Software
NOK,"17,647,519",0,19.38%,4.95,"223,415",4.95,-2.56%,4.95,4.97,39 x 89,4.98,5.00,4.95,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,4.51%,±0.144,26.56%,±0.211,27.37%,±0.154,<empty>,28.14%,0.786,0.186,1.119,19.38%,-0.81%,0.824,,NOKIA OYJ ADR SPONSORED,Information Technology,Communications Equipment,"5,598,710,000",Communications Equipment
AMPE,"17,352,245",0,165.24%,.5750,0,.7000,+11.11%,.5400,.5750,22 x 12,.6250,1.3100,.6048,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,-17.86%,<empty>,±0.309,369.74%,±0.324,170.67%,±0.08,±0.306,51.62%,4.227,0.036,3.382,165.24%,199.07%,4.197,,AMPIO PHARMACEUTICALS INC COM,Health Care,Pharmaceuticals,"111,127,878",Pharmaceuticals
TEVA,"17,205,936",0,63.06%,8.24,"655,144",8.24,-4.30%,8.23,8.26,5 x 7,8.61,8.64,8.19,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,4.13%,±0.576,63.66%,±0.842,65.30%,±0.611,<empty>,66.87%,1.694,0.393,0.623,63.06%,-1.64%,1.14,,TEVA PHARMACEUTICAL INDUSTRIES ADR SPONSORED,Health Care,Pharmaceuticals,"1,092,464,480",Pharmaceuticals
SWN,"17,019,268",0,69.81%,3.18,"456,423",3.18,-0.93%,3.10,3.29,115 x 77,3.20,3.28,3.11,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,<empty>,±0.297,84.87%,±0.365,73.29%,±0.21,±0.211,59.74%,0.16,1.122,0.017,69.81%,11.58%,0.03,,SOUTHWESTERN ENERGY CO COM,Energy,"Oil, Gas & Consumable Fuels","541,156,740",Oil & Gas Exploration & Production
FB,"16,773,691",0,29.00%,182.69,"1,021,709",181.33,+2.18%,182.69,182.90,3 x 15,180.51,181.8398,180.00,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,+0.75%,<empty>,±6.105,30.70%,±8.904,31.51%,±6.473,<empty>,32.29%,1.011,0.505,0.871,29.00%,-0.81%,0.959,,FACEBOOK INC COM CL A,Communication Services,Interactive Media & Services,"2,854,488,700",Interactive Media & Services
WFC,"16,147,536",0,26.70%,45.59,"1,588,065",45.59,+0.66%,45.53,45.68,10 x 4,45.31,45.79,44.84,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,3.95%,±1.108,22.16%,±1.676,23.60%,±1.257,<empty>,24.94%,0.65,0.818,0.694,26.70%,-1.44%,0.669,,WELLS FARGO & COMPANY COM,Financials,Banks,"4,494,342,900",Diversified Banks
