Stock quote and option quote for FCX on 6/14/19 21:46:09

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
10.65,N,-.18,10.66,P,10.70,P,62 x 10,"14,385,734",10.75,10.84,10.595

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
1.88%,8.008,.05,Q,4/12/19,18.135,9.4733,"1,450,634,600",1.55

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,FCX190712C12,0,158,39.09%,.39585873,.154,.202,.007,-.005,.001,.13,X,.090,.13,471,11,12.98%,87.02%,26.67%,10.63%,168.95%,.08,H,.10,H,12 JUL 19,12,1.37,M,1.52,M,FCX190712P12,0,0,41.97%,1.78,-.822,.193,.008,-.005,-.006,2.27,I,1.445,2.27,586,376,85.49%,14.51%,29.90%,12.41%,<empty>,,
,,FCX190712C12.5,5,40,41.70%,.33404875,.098,.138,.005,-.004,.001,.06,A,.055,.06,5,179,7.91%,92.09%,16.23%,6.50%,223.89%,.05,A,.06,H,12 JUL 19,12.5,1.82,H,1.98,B,FCX190712P12.5,0,78,44.41%,2.20,-.875,.122,.006,-.004,-.005,1.84,X,1.900,1.84,31,96,90.87%,9.13%,18.80%,7.09%,<empty>,,
,,FCX190712C13,0,0,39.66%,.21488842,.043,.077,.003,-.002,.00,0, ,.020,0,0,453,3.37%,96.63%,6.88%,2.36%,278.83%,0,B,.04,H,12 JUL 19,13,2.30,W,2.46,B,FCX190712P13,0,40,49.10%,2.69,-.895,.074,.005,-.004,-.005,2.21,E,2.380,2.21,15,96,93.34%,6.66%,13.74%,4.73%,<empty>,,
,,FCX190712C13.5,0,0,45.72%,.23741462,.039,.061,.003,-.002,.00,0, ,.020,0,0,614,2.90%,97.10%,5.95%,2.36%,337.90%,0,B,.04,X,12 JUL 19,13.5,2.79,W,2.95,H,FCX190712P13.5,0,0,55.21%,3.20,-.898,.046,.005,-.004,-.004,0, ,2.870,0,9,31,94.46%,5.54%,11.47%,3.54%,<empty>,,
,,FCX190712C14,0,0,48.84%,.22112686,.028,.044,.002,-.002,.00,0, ,.015,0,0,32,2.03%,97.97%,4.17%,1.77%,396.39%,0,C,.03,H,12 JUL 19,14,3.30,Z,3.45,M,FCX190712P14,0,0,64.37%,3.77,-.890,.038,.005,-.005,-.004,0, ,3.375,0,22,229,94.43%,5.57%,11.60%,4.14%,<empty>,,
,,FCX190712C14.5,0,0,53.92%,.2364363,.026,.037,.002,-.002,.00,0, ,.015,0,0,127,1.79%,98.21%,3.68%,1.77%,455.46%,0,C,.03,W,12 JUL 19,14.5,3.80,W,3.95,M,FCX190712P14.5,0,0,72.42%,4.33,-.884,.030,.005,-.006,-.004,0, ,3.875,0,6,211,94.61%,5.39%,11.27%,4.14%,<empty>,,
,,FCX190712C15,0,0,55.77%,.21137894,.018,.027,.001,-.001,.00,0, ,.010,0,0,51,1.22%,98.78%,2.51%,1.18%,513.94%,0,C,.02,H,12 JUL 19,15,4.25,C,4.45,M,FCX190712P15,0,0,75.56%,4.80,-.886,.011,.005,-.006,-.003,0, ,4.350,0,117,195,95.63%,4.37%,9.15%,1.18%,<empty>,,

19 JUL 19  (35)  100
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,FCX190719C3,0,0,321.34%,8.29,.902,.001,.002,-.010,.413,0, ,7.675,0,130,166,77.42%,22.58%,36.47%,1.43%,1.43%,7.60,W,7.75,H,19 JUL 19,3,0,B,.01,P,FCX190719P3,0,0,159.55%,.13704979,-.003,.002,.00,-.001,.00,0, ,.005,0,0,44,1.13%,98.87%,2.09%,0.48%,<empty>,,
,,FCX190719C4,0,0,203.72%,7.14,.932,.001,.002,-.006,.257,0, ,6.675,0,198,479,88.75%,11.25%,19.77%,1.43%,1.43%,6.60,H,6.75,X,19 JUL 19,4,0,B,.01,P,FCX190719P4,0,0,124.81%,.13200841,-.003,.002,.00,-.001,.00,0, ,.005,0,0,44,1.05%,98.95%,1.98%,0.48%,<empty>,,
,,FCX190719C5,0,0,135.51%,5.99,.960,.004,.002,-.003,.121,0, ,5.675,0,265,194,94.15%,5.85%,10.78%,1.43%,1.43%,5.60,H,5.75,H,19 JUL 19,5,0,B,.01,H,FCX190719P5,0,1,97.99%,.12401094,-.004,.004,.00,-.001,.00,.01,C,.005,.01,0,73,1.05%,98.95%,2.00%,0.48%,<empty>,,
,,FCX190719C6,0,63,94.19%,4.89,.976,.010,.001,-.002,.034,3.75,Z,4.675,3.75,17,114,96.38%,3.62%,6.85%,1.43%,1.43%,4.65,P,4.70,W,19 JUL 19,6,0,D,.02,I,FCX190719P6,0,1,83.37%,.16313621,-.010,.009,.001,-.001,.00,.05,I,.010,.05,0,263,1.94%,98.06%,3.71%,0.95%,<empty>,,
,,FCX190719C7,0,36,68.42%,3.85,.980,.020,.002,-.001,.004,2.96,A,3.675,2.96,42,76,96.80%,3.20%,6.15%,1.43%,1.43%,3.65,B,3.70,W,19 JUL 19,7,0,B,.02,W,FCX190719P7,0,301,63.18%,.14738134,-.013,.016,.001,-.001,.00,.01,M,.010,.01,0,34,2.15%,97.85%,4.16%,0.95%,<empty>,,
,,FCX190719C8,0,308,54.89%,2.89,.959,.047,.003,-.002,.005,2.94,H,2.690,2.94,163,141,94.31%,5.69%,10.99%,2.86%,2.86%,2.65,H,2.73,W,19 JUL 19,8,.02,W,.03,W,FCX190719P8,8,883,52.69%,.20680361,-.034,.043,.003,-.002,.00,.03,C,.025,.03,219,75,4.90%,95.10%,9.49%,2.38%,<empty>,,
,,FCX190719C9,72,551,46.29%,2.01,.891,.119,.006,-.004,.007,1.70,N,1.745,1.70,115,436,86.32%,13.68%,26.45%,8.09%,8.09%,1.72,H,1.77,M,19 JUL 19,9,.08,W,.10,W,FCX190719P9,0,"1,543",47.13%,.36581556,-.111,.120,.006,-.004,-.001,.08,M,.090,.08,336,237,14.18%,85.82%,27.38%,8.57%,<empty>,,
,,FCX190719C10,370,"7,983",41.02%,1.27,.712,.248,.011,-.006,.007,.93,C,.925,.93,22,287,66.81%,33.19%,63.85%,25.22%,25.22%,.91,Q,.94,H,19 JUL 19,10,.26,H,.29,H,FCX190719P10,35,"9,603",42.11%,.62765355,-.290,.243,.011,-.007,-.003,.29,Z,.275,.29,604,263,33.72%,66.28%,64.79%,26.17%,<empty>,,
,,FCX190719C11,401,"31,721",39.25%,.74835324,.424,.298,.013,-.007,.004,.37,M,.380,.37,25,190,37.70%,62.30%,78.68%,36.17%,68.53%,.37,P,.39,H,19 JUL 19,11,.72,B,.77,H,FCX190719P11,19,"5,471",41.50%,1.13,-.568,.282,.013,-.007,-.006,.73,I,.745,.73,36,313,61.92%,38.08%,79.73%,38.55%,<empty>,,
