Stock quote and option quote for SPY on 6/14/19 21:47:21

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
289.26,P,-.32,289.31,P,289.42,P,2 x 1,"52,324,716",289.26,289.93,288.41

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
1.71%,67.58,1.233,Q,3/15/19,294.95,233.76,"947,430,000",1.0

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,SPY190614C275.5,1,1,50.32%,32.33,.969,.009,.011,-.376,.007,13.66,I,13.905,13.66,253,252,96.75%,3.25%,6.47%,11.99%,11.99%,13.68,E,14.13,E,14 JUN 19,275.5,0,T,.01,Q,SPY190614P275.5,0,30,34.35%,10.76,-.003,.002,.001,-.069,.00,.02,C,.005,.02,0,"3,900",0.33%,99.67%,0.66%,0.63%,<empty>,,
,,SPY190614C276,31,"2,079",53.20%,33.44,.956,.012,.014,-.485,.007,13.54,C,13.460,13.54,262,287,95.34%,4.66%,9.27%,18.94%,18.94%,13.29,E,13.63,E,14 JUN 19,276,0,B,.01,Q,SPY190614P276,52,"18,223",33.20%,10.43,-.003,.002,.002,-.068,.00,.01,E,.005,.01,0,"3,900",0.34%,99.66%,0.68%,0.63%,<empty>,,
,,SPY190614C276.5,0,0,47.21%,30.30,.968,.010,.011,-.364,.007,0, ,12.905,0,252,252,96.57%,3.43%,6.82%,11.99%,11.99%,12.68,E,13.13,E,14 JUN 19,276.5,0,B,.01,Q,SPY190614P276.5,0,437,32.05%,10.09,-.003,.002,.002,-.067,.00,.01,I,.005,.01,0,"3,900",0.35%,99.65%,0.71%,0.63%,<empty>,,
,,SPY190614C277,55,"2,231",40.76%,26.95,.980,.008,.007,-.242,.007,12.51,M,12.360,12.51,262,112,97.88%,2.12%,4.23%,6.31%,6.31%,12.26,E,12.46,E,14 JUN 19,277,0,B,.01,Q,SPY190614P277,58,"20,389",30.89%,9.75,-.003,.002,.002,-.066,.00,.01,I,.005,.01,0,"3,900",0.37%,99.63%,0.73%,0.63%,<empty>,,
,,SPY190614C277.5,6,"2,573",48.20%,30.24,.952,.014,.015,-.461,.007,12.04,Q,11.960,12.04,262,262,94.95%,5.05%,10.04%,18.94%,18.94%,11.82,E,12.10,E,14 JUN 19,277.5,0,B,.01,Q,SPY190614P277.5,1,"7,096",29.74%,9.41,-.004,.002,.002,-.065,.00,.01,N,.005,.01,0,"3,900",0.38%,99.62%,0.75%,0.63%,<empty>,,
,,SPY190614C278,101,"2,599",47.16%,29.47,.948,.015,.016,-.470,.007,11.68,C,11.470,11.68,213,262,94.57%,5.43%,10.81%,20.20%,20.20%,11.34,E,11.60,E,14 JUN 19,278,0,B,.01,Q,SPY190614P278,55,"18,613",28.58%,9.07,-.004,.003,.002,-.064,.00,.01,E,.005,.01,0,"3,900",0.39%,99.61%,0.78%,0.63%,<empty>,,
,,SPY190614C278.5,3,3,42.47%,26.94,.958,.014,.014,-.380,.007,11.18,I,10.925,11.18,255,255,95.57%,4.43%,8.82%,14.52%,14.52%,10.75,E,11.10,E,14 JUN 19,278.5,0,B,.01,Q,SPY190614P278.5,0,190,27.42%,8.72,-.004,.003,.002,-.062,.00,.01,P,.005,.01,0,"3,900",0.41%,99.59%,0.81%,0.63%,<empty>,,
,,SPY190614C279,129,"2,093",44.05%,27.43,.944,.017,.017,-.460,.007,10.58,C,10.475,10.58,56,252,94.10%,5.90%,11.74%,20.83%,20.83%,10.35,N,10.60,E,14 JUN 19,279,0,B,.01,Q,SPY190614P279,17,"9,227",26.26%,8.38,-.004,.003,.002,-.061,.00,.01,C,.005,.01,0,"4,000",0.42%,99.58%,0.84%,0.63%,<empty>,,
,,SPY190614C279.5,2,8,36.92%,23.72,.964,.014,.012,-.304,.007,10.29,I,9.895,10.29,254,254,96.22%,3.78%,7.53%,10.73%,10.73%,9.70,E,10.09,E,14 JUN 19,279.5,0,B,.01,Q,SPY190614P279.5,10,"2,094",25.10%,8.03,-.004,.003,.002,-.060,.00,.01,C,.005,.01,0,"3,900",0.44%,99.56%,0.87%,0.63%,<empty>,,
,,SPY190614C280,560,"6,064",40.31%,25.09,.941,.019,.018,-.433,.007,9.39,B,9.470,9.39,140,252,93.83%,6.17%,12.28%,20.20%,20.20%,9.35,E,9.59,E,14 JUN 19,280,0,B,.01,Q,SPY190614P280,199,"40,642",23.93%,7.67,-.004,.004,.002,-.059,.00,.02,I,.005,.02,0,"3,900",0.46%,99.54%,0.91%,0.63%,<empty>,,
