Stock quote and option quote for FEYE on 9/1/19 18:02:21

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
13.43,Q,+.04,13.36,P,13.60,P,5 x 5,"1,870,788",13.45,13.575,13.33

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
<empty>,-11.1,<empty>,--,,20.61,12.66,"214,753,300",1.24

Theo parameters
Theo date,Theo stock price,Theo volatility
9/1/19, 0.00$, 0.00%

6 SEP 19  (5)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,,
,,FEYE190927C12,0,5,.877,.147,-.006,.007,.008,37.76%,1.54,<empty>,<empty>,85.54%,28.39%,14.46%,10.58%,10.58%,1.535,90 x 224,90,224,0.00%,1.29,1.29,C,0,0,0,1.42,M,1.65,X,27 SEP 19,12,.06,C,.12,X,FEYE190927P12,0,3,-.125,.148,-.005,.008,-.001,38.12%,.09007182,7.17%,0.76%,14.72%,28.88%,85.28%,9.07%,<empty>,.090,63 x 524,63,524,0.00%,.28,.28,C,0,0,0,,
,,FEYE190927C12.5,0,5,.775,.214,-.008,.011,.007,38.31%,1.14,<empty>,<empty>,74.25%,50.37%,25.75%,21.15%,21.15%,1.140,9 x 239,9,239,0.00%,1.26,1.26,P,0,0,0,1.05,Z,1.23,C,27 SEP 19,12.5,.13,Z,.20,X,FEYE190927P12.5,0,6,-.212,.222,-.007,.011,-.002,35.85%,.16504186,9.40%,1.34%,24.11%,47.30%,75.89%,16.62%,<empty>,.165,15 x 538,15,538,0.00%,.49,.49,X,0,0,0,,
,,FEYE190927C13,0,20,.655,.284,-.009,.013,.006,35.57%,.76500205,<empty>,<empty>,61.92%,74.46%,38.08%,33.74%,33.74%,.765,29 x 500,29,500,0.00%,.56,.56,C,0,0,0,.68,Z,.85,X,27 SEP 19,13,.25,Z,.32,X,FEYE190927P13,0,0,-.337,.301,-.008,.013,-.003,33.26%,.28500439,12.63%,2.24%,37.03%,72.63%,62.97%,28.71%,<empty>,.285,15 x 429,15,429,<empty>,0,0, ,0,0,0,,
,,FEYE190927C13.5,6,7,.499,.355,-.009,.015,.005,30.81%,.42498038,<empty>,<empty>,46.56%,94.91%,53.44%,42.81%,49.86%,.425,43 x 91,43,91,-15.69%,.43,.43,P,.46,.46,.43,.40,I,.45,I,27 SEP 19,13.5,.45,X,.53,X,FEYE190927P13.5,0,6,-.501,.346,-.008,.015,-.005,31.81%,.48996302,18.24%,3.77%,53.44%,95.06%,46.56%,42.30%,<empty>,.490,55 x 423,55,423,0.00%,.53,.53,C,0,0,0,,
,,FEYE190927C14,0,158,.331,.322,-.008,.013,.003,30.84%,.235017,<empty>,<empty>,30.15%,61.26%,69.85%,23.67%,81.08%,.235,157 x 30,157,30,0.00%,.25,.25,M,0,0,0,.21,X,.26,Z,27 SEP 19,14,.75,X,.85,X,FEYE190927P14,0,3,-.664,.317,-.007,.013,-.006,31.92%,.80001846,29.78%,6.06%,69.33%,62.40%,30.67%,23.17%,<empty>,.800,57 x 359,57,359,0.00%,.76,.76,C,0,0,0,,
,,FEYE190927C14.5,0,68,.214,.242,-.007,.011,.002,32.95%,.14002463,<empty>,<empty>,18.84%,38.28%,81.16%,14.10%,121.88%,.140,175 x 539,175,539,0.00%,.21,.21,X,0,0,0,.09,X,.19,X,27 SEP 19,14.5,1.14,N,1.30,M,FEYE190927P14.5,0,0,-.769,.236,-.007,.011,-.007,35.64%,1.22,45.42%,9.19%,79.51%,41.76%,20.49%,15.11%,<empty>,1.220,9 x 250,9,250,<empty>,0,0, ,0,0,0,,
,,FEYE190927C15,0,43,.111,.163,-.004,.007,.001,31.77%,.06032524,<empty>,<empty>,9.58%,19.40%,90.42%,6.04%,164.18%,.060,240 x 75,240,75,0.00%,.17,.17,C,0,0,0,.03,X,.09,X,27 SEP 19,15,1.50,C,1.74,X,FEYE190927P15,0,0,-.883,.160,-.004,.007,-.006,32.86%,1.62,60.31%,12.11%,89.72%,20.85%,10.28%,5.04%,<empty>,1.620,120 x 299,120,299,<empty>,0,0, ,0,0,0,,
,,FEYE190927C15.5,0,10,.095,.121,-.004,.006,.001,38.35%,.06000655,<empty>,<empty>,7.88%,16.05%,92.12%,6.04%,214.55%,.060,0 x 236,0,236,0.00%,.07,.07,X,0,0,0,0,N,.12,X,27 SEP 19,15.5,1.99,B,2.20,C,FEYE190927P15.5,0,6,-.919,.092,-.003,.005,-.005,35.61%,2.10,78.00%,15.63%,93.49%,13.21%,6.51%,2.52%,<empty>,2.095,23 x 36,23,36,0.00%,2.11,2.11,C,0,0,0,,
,,FEYE190927C16,0,18,.075,.091,-.004,.005,.001,42.65%,.05001094,<empty>,<empty>,5.99%,12.23%,94.01%,5.04%,263.90%,.050,0 x 181,0,181,0.00%,.06,.06,I,0,0,0,0,B,.10,X,27 SEP 19,16,2.48,Q,2.68,I,FEYE190927P16,0,0,-.931,.046,-.003,.004,-.003,39.07%,2.58,96.05%,19.23%,95.42%,9.30%,4.58%,1.01%,<empty>,2.580,29 x 47,29,47,<empty>,0,0, ,0,0,0,,
,,FEYE190927C16.5,0,0,.063,.072,-.004,.005,.001,47.24%,.04524337,<empty>,<empty>,4.89%,10.00%,95.11%,4.53%,313.76%,.045,0 x 154,0,154,<empty>,0,0, ,0,0,0,0,N,.09,X,27 SEP 19,16.5,2.98,B,3.20,C,FEYE190927P16.5,0,0,-.919,.044,-.004,.005,-.004,47.92%,3.09,115.04%,23.04%,94.89%,10.47%,5.11%,2.01%,<empty>,3.090,21 x 58,21,58,<empty>,0,0, ,0,0,0,,
,,FEYE190927C17,0,0,.049,.055,-.003,.004,.00,49.94%,.03518108,<empty>,<empty>,3.65%,7.47%,96.35%,3.53%,363.12%,.035,0 x 150,0,150,<empty>,0,0, ,0,0,0,0,P,.07,X,27 SEP 19,17,3.45,I,3.70,I,FEYE190927P17,0,0,-.922,.020,-.004,.005,-.003,51.34%,3.58,133.10%,26.63%,95.98%,8.25%,4.02%,0.50%,<empty>,3.575,22 x 23,22,23,<empty>,0,0, ,0,0,0,,
,,FEYE190927C17.5,0,0,.050,.050,-.004,.004,.00,56.21%,.04045542,<empty>,<empty>,3.60%,7.41%,96.40%,4.03%,413.98%,.040,0 x 53,0,53,<empty>,0,0, ,0,0,0,0,N,.08,C,27 SEP 19,17.5,3.95,C,4.20,C,FEYE190927P17.5,0,0,-.914,.015,-.005,.005,-.003,58.13%,4.08,151.71%,30.35%,95.95%,8.35%,4.05%,0.50%,<empty>,4.075,63 x 99,63,99,<empty>,0,0, ,0,0,0,,
,,FEYE190927C18,0,0,.046,.044,-.004,.004,.00,60.76%,.04000702,<empty>,<empty>,3.24%,6.68%,96.76%,4.03%,464.35%,.040,0 x 63,0,63,<empty>,0,0, ,0,0,0,0,B,.08,X,27 SEP 19,18,4.45,C,4.70,B,FEYE190927P18,0,0,-.907,.013,-.006,.005,-.004,64.96%,4.58,170.33%,34.08%,95.89%,8.50%,4.11%,0.50%,<empty>,4.575,60 x 31,60,31,<empty>,0,0, ,0,0,0,,

4 OCT 19  (33)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,,
,,FEYE191004C8.5,0,0,.978,.016,-.003,.002,.008,79.72%,4.98,<empty>,<empty>,96.14%,7.40%,3.86%,3.60%,3.60%,4.975,112 x 81,112,81,<empty>,0,0, ,0,0,0,4.85,X,5.10,C,4 OCT 19,8.5,0,J,.06,Z,FEYE191004P8.5,0,0,-.023,.016,-.003,.002,.00,80.05%,.03013818,3.00%,0.35%,3.93%,7.53%,96.07%,2.40%,<empty>,.030,0 x 190,0,190,<empty>,0,0, ,0,0,0,,
,,FEYE191004C9,0,0,.995,.006,-.001,.001,.008,52.45%,4.45,<empty>,<empty>,99.25%,1.47%,0.75%,1.60%,1.60%,4.450,72 x 31,72,31,<empty>,0,0, ,0,0,0,4.35,C,4.55,Z,4 OCT 19,9,0,N,.07,Z,FEYE191004P9,0,0,-.028,.021,-.003,.003,.00,73.31%,.03508716,3.50%,0.39%,4.59%,8.81%,95.41%,2.80%,<empty>,.035,0 x 173,0,173,<empty>,0,0, ,0,0,0,,
,,FEYE191004C9.5,0,0,.996,.007,-.001,.00,.009,44.33%,3.95,<empty>,<empty>,99.39%,1.20%,0.61%,1.60%,1.60%,3.950,75 x 29,75,29,<empty>,0,0, ,0,0,0,3.85,C,4.05,Z,4 OCT 19,9.5,0,Q,.08,Z,FEYE191004P9.5,0,0,-.035,.028,-.003,.003,.00,66.46%,.04005012,4.00%,0.42%,5.32%,10.24%,94.68%,3.20%,<empty>,.040,0 x 179,0,179,<empty>,0,0, ,0,0,0,,
,,FEYE191004C10,0,0,.971,.030,-.003,.003,.009,53.76%,3.48,<empty>,<empty>,95.80%,8.18%,4.20%,3.60%,3.60%,3.475,11 x 29,11,29,<empty>,0,0, ,0,0,0,3.40,H,3.55,Z,4 OCT 19,10,0,N,.08,X,FEYE191004P10,0,0,-.039,.036,-.003,.003,-.001,58.16%,.0400464,4.00%,0.40%,5.66%,10.97%,94.34%,3.20%,<empty>,.040,0 x 638,0,638,<empty>,0,0, ,0,0,0,,
,,FEYE191004C10.5,0,0,.977,.032,-.002,.002,.009,42.10%,2.97,<empty>,<empty>,96.90%,6.09%,3.10%,2.80%,2.80%,2.965,29 x 28,29,28,<empty>,0,0, ,0,0,0,2.88,Z,3.05,Q,4 OCT 19,10.5,0,P,.09,X,FEYE191004P10.5,0,0,-.048,.048,-.003,.004,-.001,51.39%,.04505393,4.29%,0.43%,6.64%,12.91%,93.36%,3.60%,<empty>,.045,0 x 650,0,650,<empty>,0,0, ,0,0,0,,
,,FEYE191004C11,0,0,.940,.065,-.004,.005,.009,44.40%,2.50,<empty>,<empty>,92.21%,15.21%,7.79%,5.60%,5.60%,2.500,29 x 27,29,27,<empty>,0,0, ,0,0,0,2.39,B,2.61,B,4 OCT 19,11,0,J,.09,X,FEYE191004P11,0,0,-.056,.064,-.003,.005,-.001,43.45%,.04501722,4.09%,0.41%,7.30%,14.28%,92.70%,3.60%,<empty>,.045,0 x 615,0,615,<empty>,0,0, ,0,0,0,,
,,FEYE191004C11.5,0,0,.913,.098,-.004,.006,.010,39.65%,2.02,<empty>,<empty>,89.20%,21.14%,10.80%,7.20%,7.20%,2.020,22 x 22,22,22,<empty>,0,0, ,0,0,0,1.91,B,2.13,B,4 OCT 19,11.5,.04,X,.07,X,FEYE191004P11.5,0,0,-.076,.093,-.003,.006,-.001,37.45%,.05500607,4.78%,0.48%,9.39%,18.44%,90.61%,4.40%,<empty>,.055,77 x 237,77,237,<empty>,0,0, ,0,0,0,,
,,FEYE191004C12,0,0,.881,.146,-.005,.008,.010,33.21%,1.54,<empty>,<empty>,85.96%,27.62%,14.04%,8.40%,8.40%,1.535,200 x 31,200,31,<empty>,0,0, ,0,0,0,1.45,X,1.62,M,4 OCT 19,12,.08,Z,.11,X,FEYE191004P12,0,0,-.128,.148,-.004,.009,-.002,34.64%,.0950715,7.56%,0.80%,15.15%,29.76%,84.85%,7.60%,<empty>,.095,125 x 246,125,246,<empty>,0,0, ,0,0,0,,
,,FEYE191004C12.5,0,3,.762,.206,-.007,.013,.008,36.66%,1.18,<empty>,<empty>,72.65%,53.43%,27.35%,19.60%,19.60%,1.175,9 x 249,9,249,<empty>,0,0, ,0,0,0,1.09,Z,1.26,X,4 OCT 19,12.5,.16,Z,.19,X,FEYE191004P12.5,0,0,-.217,.218,-.006,.012,-.003,32.88%,.17502169,9.97%,1.42%,24.70%,48.51%,75.30%,14.00%,<empty>,.175,158 x 213,158,213,<empty>,0,0, ,0,0,0,,
,,FEYE191004C13,0,0,.653,.275,-.008,.015,.007,32.81%,.78500166,<empty>,<empty>,61.55%,75.27%,38.45%,28.40%,28.40%,.785,11 x 187,11,187,0.00%,.79,.79,B,0,0,0,.74,H,.83,M,4 OCT 19,13,.29,Z,.33,X,FEYE191004P13,0,0,-.343,.286,-.007,.015,-.004,31.42%,.3100031,13.74%,2.44%,37.79%,74.13%,62.21%,24.80%,<empty>,.310,120 x 289,120,289,<empty>,0,0, ,0,0,0,,
,,FEYE191004C13.5,0,0,.504,.317,-.008,.016,.006,30.67%,.47995025,<empty>,<empty>,46.71%,95.43%,53.29%,38.39%,43.99%,.480,11 x 4,11,4,<empty>,0,0, ,0,0,0,.46,Q,.50,E,4 OCT 19,13.5,.50,X,.56,B,FEYE191004P13.5,0,10,-.497,.317,-.007,.016,-.006,30.95%,.52993301,19.73%,4.09%,53.29%,95.46%,46.71%,36.79%,<empty>,.530,60 x 20,60,20,0.00%,.81,.81,B,0,0,0,,
,,FEYE191004C14,0,10,.353,.295,-.007,.015,.004,30.69%,.28500727,<empty>,<empty>,31.89%,64.93%,68.11%,22.80%,68.39%,.285,38 x 12,38,12,0.00%,.30,.30,M,0,0,0,.27,N,.30,P,4 OCT 19,14,.80,M,.87,X,FEYE191004P14,0,0,-.648,.297,-.006,.015,-.008,30.99%,.83501015,31.09%,6.34%,67.98%,65.22%,32.02%,21.20%,<empty>,.835,41 x 89,41,89,<empty>,0,0, ,0,0,0,,
,,FEYE191004C14.5,0,130,.231,.237,-.006,.012,.003,31.35%,.16532722,<empty>,<empty>,20.33%,41.33%,79.67%,13.20%,98.79%,.165,176 x 346,176,346,0.00%,.18,.18,X,0,0,0,.14,X,.19,X,4 OCT 19,14.5,1.17,N,1.34,X,FEYE191004P14.5,0,0,-.746,.228,-.006,.013,-.008,34.77%,1.26,46.72%,9.48%,77.58%,45.79%,22.42%,14.80%,<empty>,1.255,9 x 312,9,312,<empty>,0,0, ,0,0,0,,
,,FEYE191004C15,0,0,.146,.173,-.005,.009,.002,32.28%,.09508239,<empty>,<empty>,12.45%,25.28%,87.55%,7.60%,133.18%,.095,183 x 248,183,248,<empty>,0,0, ,0,0,0,.07,X,.12,X,4 OCT 19,15,1.54,X,1.76,X,FEYE191004P15,0,9,-.851,.172,-.004,.009,-.008,33.14%,1.65,61.43%,12.36%,86.98%,26.46%,13.02%,6.40%,<empty>,1.650,523 x 503,523,503,0.00%,2.09,2.09,X,0,0,0,,
,,FEYE191004C15.5,0,0,.105,.125,-.004,.007,.001,35.49%,.07000412,<empty>,<empty>,8.68%,17.66%,91.32%,5.60%,171.17%,.070,125 x 463,125,463,<empty>,0,0, ,0,0,0,.04,Z,.10,X,4 OCT 19,15.5,2.00,B,2.19,B,FEYE191004P15.5,0,0,-.919,.098,-.002,.006,-.006,32.16%,2.10,78.00%,15.63%,93.20%,13.78%,6.80%,2.00%,<empty>,2.095,28 x 24,28,24,<empty>,0,0, ,0,0,0,,
,,FEYE191004C16,0,0,.065,.086,-.003,.005,.001,36.20%,.04044663,<empty>,<empty>,5.22%,10.62%,94.78%,3.20%,208.77%,.040,0 x 496,0,496,<empty>,0,0, ,0,0,0,0,J,.08,X,4 OCT 19,16,2.49,Q,2.69,Z,FEYE191004P16,0,0,-.923,.065,-.003,.005,-.005,37.18%,2.59,96.43%,19.31%,94.34%,11.53%,5.66%,1.60%,<empty>,2.590,29 x 29,29,29,<empty>,0,0, ,0,0,0,,
,,FEYE191004C16.5,0,0,.063,.072,-.003,.005,.001,42.03%,.04523157,<empty>,<empty>,4.90%,10.00%,95.10%,3.60%,249.16%,.045,0 x 660,0,660,<empty>,0,0, ,0,0,0,0,J,.09,X,4 OCT 19,16.5,2.98,Z,3.20,I,FEYE191004P16.5,0,0,-.920,.047,-.003,.005,-.005,43.07%,3.09,115.04%,23.04%,94.72%,10.80%,5.28%,1.60%,<empty>,3.090,21 x 40,21,40,<empty>,0,0, ,0,0,0,,
